table_index,csv_path,headings,rows,cols
107,"tables/감사보고서_2014_table_107_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",23,4
108,"tables/감사보고서_2014_table_108_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",33,4
109,"tables/감사보고서_2014_table_109_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속__나._.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속 > 나. 매출ㆍ매입 등 거래 내역",28,6
110,"tables/감사보고서_2014_table_110_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",15,6
111,"tables/감사보고서_2014_table_111_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",35,6
112,"tables/감사보고서_2014_table_112_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",9,6
113,"tables/감사보고서_2014_table_113_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속__다._.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속 > 다. 채권ㆍ채무잔액",16,4
114,"tables/감사보고서_2014_table_114_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",26,4
115,"tables/감사보고서_2014_table_115_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",28,4
116,"tables/감사보고서_2014_table_116_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",15,4
117,"tables/감사보고서_2014_table_117_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속__라._.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속 > 라. 주요 경영진에 대한 보상",4,3
118,"tables/감사보고서_2014_table_118_삼성전자주식회사_감사보고서_제2014기__주석__34._매각예정분류(처분자산집단),_계속_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 34. 매각예정분류(처분자산집단), 계속 > 나. 매각예정으로 분류한 자산 및 부채의 내역",13,2
119,"tables/감사보고서_2014_table_119_삼성전자주식회사_감사보고서_제2014기__주석__34._매각예정분류(처분자산집단),_계속_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 34. 매각예정분류(처분자산집단), 계속 > 다. 매각예정으로 분류한 기타자본항목의 내역",3,2
120,tables/감사보고서_2014_table_120_삼성전자주식회사_감사보고서_제2014기__외부감사_실시내용__1._감사대상업무.csv,삼성전자주식회사 감사보고서 제2014기 > 외부감사 실시내용 > 1. 감사대상업무,2,5
121,tables/감사보고서_2014_table_121_삼성전자주식회사_감사보고서_제2014기__외부감사_실시내용__2._감사참여자_구분별_인원수.csv,삼성전자주식회사 감사보고서 제2014기 > 외부감사 실시내용 > 2. 감사참여자 구분별 인원수 및 감사시간,6,8
122,tables/감사보고서_2014_table_122_삼성전자주식회사_감사보고서_제2014기__외부감사_실시내용__3._주요_감사실시내용.csv,삼성전자주식회사 감사보고서 제2014기 > 외부감사 실시내용 > 3. 주요 감사실시내용,19,10
